Name,Wait Time,Delivery Fee,Link,Delivery Address,Geoid
Philly's Best (Jingletown),N/A,5.49,https://postmates.com/store/phillys-best-jingletown/1KLs4MxmVZCQetIxNTprTQ,8519 Macarthur Blvd Oakland CA,60014097001
OSHA Thai Express (Oakland),50–60 min,7.49,https://postmates.com/store/osha-thai-express-oakland/mrMgrBqISyy-BXo_w7BPBQ,8519 Macarthur Blvd Oakland CA,60014097001
Toasty's Breakfast Burritos (Oakland),55–65 min,5.49,https://postmates.com/store/toastys-breakfast-burritos-oakland/YOWaRzZbUMSMGnPj8o9fSg,8519 Macarthur Blvd Oakland CA,60014097001
Cris Las Palmas,30–40 min,3.49,https://postmates.com/store/cris-las-palmas/IG-BhS41XXC9fji8GY7yGg,8519 Macarthur Blvd Oakland CA,60014097001
Dirty Burger (Oakland),50–60 min,5.49,https://postmates.com/store/dirty-burger-oakland/ysCyucfnU3mFD81lNrV4Bw,8519 Macarthur Blvd Oakland CA,60014097001
LIL BURMA (2353 E 12th St),50–60 min,5.49,https://postmates.com/store/lil-burma-2353-e-12th-st/ABiiKYxkXqyIkHo6sLBOqA,8519 Macarthur Blvd Oakland CA,60014097001
Fire Wings - Alameda,45–55 min,5.49,https://postmates.com/store/fire-wings-alameda/uW1oVa4PWP6c13TkoYEZ-A,8519 Macarthur Blvd Oakland CA,60014097001
THE IMPOSSIBLE SHOP™ (OAKLAND),50–60 min,5.49,https://postmates.com/store/the-impossible-shoptm-oakland/mpXWJcnnWkaqMAxgkcsdyw,8519 Macarthur Blvd Oakland CA,60014097001
McDonald's® (Oakland) 23467,20–30 min,3.49,https://postmates.com/store/mcdonalds-oakland-23467/krxRUwMJTG2FhQgteN6gKw,8519 Macarthur Blvd Oakland CA,60014097001
The Habit Burger Grill (1540 E 14th Street),25–35 min,4.49,https://postmates.com/store/the-habit-burger-grill-1540-e-14th-street/PcpL4HjxTkW-JtE7eyuDIQ,8519 Macarthur Blvd Oakland CA,60014097001
Denny's (601 Hegenberger),30–40 min,3.49,https://postmates.com/store/dennys-601-hegenberger/ihnDeTwuQMGHN44LvsvH9A,8519 Macarthur Blvd Oakland CA,60014097001
Homeroom To Go,45–55 min,7.49,https://postmates.com/store/homeroom-to-go/32drpQtyRNeTXI0jm6wP0A,8519 Macarthur Blvd Oakland CA,60014097001
Victoria Liquors,20–30 min,3.99,https://postmates.com/store/victoria-liquors/5fs1Mzb8QmybHj8wxEXI3A,8519 Macarthur Blvd Oakland CA,60014097001
