Name,Wait Time,Delivery Fee,Link,Delivery Address,Geoid
Dirty Burger (Oakland),N/A,5.99,https://postmates.com/store/dirty-burger-oakland/ysCyucfnU3mFD81lNrV4Bw,10741 Russet St Oakland CA,60014093004
Toasty's Breakfast Burritos (Oakland),N/A,5.99,https://postmates.com/store/toastys-breakfast-burritos-oakland/YOWaRzZbUMSMGnPj8o9fSg,10741 Russet St Oakland CA,60014093004
Brekkie Bagels (2353 E 12th St),N/A,5.99,https://postmates.com/store/brekkie-bagels-2353-e-12th-st/MjgB0ukDWpuDOpWoNW21Qw,10741 Russet St Oakland CA,60014093004
THE IMPOSSIBLE SHOP™ (OAKLAND),N/A,5.99,https://postmates.com/store/the-impossible-shoptm-oakland/mpXWJcnnWkaqMAxgkcsdyw,10741 Russet St Oakland CA,60014093004
McDonald's® (Washington St),N/A,3.99,https://postmates.com/store/mcdonalds-washington-st/dO9S00uPQYmxiVTc08l97A,10741 Russet St Oakland CA,60014093004
Denny's (601 Hegenberger),N/A,3.99,https://postmates.com/store/dennys-601-hegenberger/ihnDeTwuQMGHN44LvsvH9A,10741 Russet St Oakland CA,60014093004
Starbucks (MacArthur & Estudillo),N/A,3.99,https://postmates.com/store/starbucks-macarthur-%26-estudillo/KhM4lECwS62bUU6HNuIUXQ,10741 Russet St Oakland CA,60014093004
Victoria Liquors,N/A,3.49,https://postmates.com/store/victoria-liquors/5fs1Mzb8QmybHj8wxEXI3A,10741 Russet St Oakland CA,60014093004
Taco Bell (797 Marina Blvd),N/A,4.99,https://postmates.com/store/taco-bell-797-marina-blvd/0kas5dGpSsu5JgyQzwRg6w,10741 Russet St Oakland CA,60014093004
Subway (8450-C Edgewater Dr),N/A,2.99,https://postmates.com/store/subway-8450-c-edgewater-dr/VLX-hjATRiOKam0-4DV56w,10741 Russet St Oakland CA,60014093004
Jack in the Box (780 Marina Blvd),N/A,3.99,https://postmates.com/store/jack-in-the-box-780-marina-blvd/6p0nlyqoTlmbggYQWg7VZA,10741 Russet St Oakland CA,60014093004
Wendy's (1185 San Leandro),N/A,3.99,https://postmates.com/store/wendys-1185-san-leandro/4TL8fOGPTIGgz31c8OIbBg,10741 Russet St Oakland CA,60014093004
United Paleteria Y Neveria,N/A,4.99,https://postmates.com/store/united-paleteria-y-neveria/iJ9huukLTxKkJR3CmiqeDw,10741 Russet St Oakland CA,60014093004
Dunkin' (451 Hegenberger Rd),N/A,3.99,https://postmates.com/store/dunkin-451-hegenberger-rd/8cY5TejhQXGqlkWOK54T8w,10741 Russet St Oakland CA,60014093004
Roccab's Café & Deli,N/A,2.99,https://postmates.com/store/roccabs-cafe-%26-deli/gJJEIC-oW46lIC2ZT7fyJg,10741 Russet St Oakland CA,60014093004
7-Eleven (333 E 14th St),N/A,3.49,https://postmates.com/store/7-eleven-333-e-14th-st/dTxQ9O2gQRuqQiEqGC2VoA,10741 Russet St Oakland CA,60014093004
McDonald's® (9725 14th St),N/A,3.99,https://postmates.com/store/mcdonalds-9725-14th-st/OH9qTHSGSISBImn_xYxcHw,10741 Russet St Oakland CA,60014093004
Toasty's Breakfast Burritos - Castro Valley,N/A,6.99,https://postmates.com/store/toastys-breakfast-burritos-castro-valley/2eIyOhhORu6JFAV71aQs5g,10741 Russet St Oakland CA,60014093004
Bullseye Bagels (2521 Seminary Avenue),N/A,4.99,https://postmates.com/store/bullseye-bagels-2521-seminary-avenue/ieVgg1zEQCWIFuDkkKYclg,10741 Russet St Oakland CA,60014093004
Sunny & Fine's Breakfast Burritos,N/A,4.99,https://postmates.com/store/sunny-%26-fines-breakfast-burritos/-Jpe6Cv1QdSVTQbWgT7p5A,10741 Russet St Oakland CA,60014093004
Brekkie Bagels,N/A,4.99,https://postmates.com/store/brekkie-bagels/_8g3LWVmTvyHRGxDrCTTug,10741 Russet St Oakland CA,60014093004
"Breakfast Beauties (1933 Davis Street, Suite 135B)",N/A,2.99,https://postmates.com/store/breakfast-beauties-1933-davis-street-suite-135b/SMYXmrPTT1u8q50dZQVKpw,10741 Russet St Oakland CA,60014093004
The Brass Hass (2353 E 12th St),N/A,5.99,https://postmates.com/store/the-brass-hass-2353-e-12th-st/xFGYOfk3QyyyWyntDP2cEg,10741 Russet St Oakland CA,60014093004
Krispy Krunchy Chicken,N/A,4.99,https://postmates.com/store/krispy-krunchy-chicken/huNLEYmGTce1_qu4U8Cb3g,10741 Russet St Oakland CA,60014093004
Black Bear Diner (25202 Hesperian Blvd.),N/A,11.99,https://postmates.com/store/black-bear-diner-25202-hesperian-blvd/nPaf2e4cRJux4qpifLhuHQ,10741 Russet St Oakland CA,60014093004
Dunkin' (268 Jackson St),N/A,7.99,https://postmates.com/store/dunkin-268-jackson-st/3YvgJLyVSXimVaILMf7PWQ,10741 Russet St Oakland CA,60014093004
Doug's Place,N/A,7.99,https://postmates.com/store/dougs-place/fb5BICoTQTGHrAQzmqNPKA,10741 Russet St Oakland CA,60014093004
Taco Bell (20925 Redwood Rd),N/A,6.99,https://postmates.com/store/taco-bell-20925-redwood-rd/4ICQeryBSX2KgkIWSzeH5Q,10741 Russet St Oakland CA,60014093004
Los Pericos Taqueria (Hayward),N/A,7.99,https://postmates.com/store/los-pericos-taqueria-hayward/0yV-M4XyReWqqwqa8yvHFg,10741 Russet St Oakland CA,60014093004
ProFlowers (6131 LA SALLE AVE),N/A,8.49,https://postmates.com/store/proflowers-6131-la-salle-ave/Phl70UfwVYOXn4ed6jJC9g,10741 Russet St Oakland CA,60014093004
Emil Villa's Hayward,N/A,7.99,https://postmates.com/store/emil-villas-hayward/Oc3x-MGVShKZXbAPB-SeGw,10741 Russet St Oakland CA,60014093004
Smokey's BBQ Sandwiches,N/A,6.99,https://postmates.com/store/smokeys-bbq-sandwiches/XllUEajSRRieciYbD_7gdg,10741 Russet St Oakland CA,60014093004
Burger King (15050 E. 14th Street),N/A,5.99,https://postmates.com/store/burger-king-15050-e-14th-street/FKjT_suQT8iMYLXm2vErrg,10741 Russet St Oakland CA,60014093004
Burger King (1934 Davis Street),N/A,2.99,https://postmates.com/store/burger-king-1934-davis-street/gYxtGo5sSNeIVW055YUBDQ,10741 Russet St Oakland CA,60014093004
Its A Grind Coffee House (2521 Seminary),N/A,4.99,https://postmates.com/store/its-a-grind-coffee-house-2521-seminary/OC_FHEgkTLiuz4FM_Zr1ww,10741 Russet St Oakland CA,60014093004
Nation's Giant Hamburgers (San Leandro),N/A,3.99,https://postmates.com/store/nations-giant-hamburgers-san-leandro/FH308_5vQwyUJ4pmaKP5jA,10741 Russet St Oakland CA,60014093004
Its a Grind Coffee House,N/A,2.99,https://postmates.com/store/its-a-grind-coffee-house/WychhdhiTOye492VWIw1Hw,10741 Russet St Oakland CA,60014093004
OakTown Wings,N/A,4.99,https://postmates.com/store/oaktown-wings/dj0Vz9mtQ0uiEKYY9MEQPA,10741 Russet St Oakland CA,60014093004
Power Up! Breakfast Bowls (2353 E 12th St),N/A,5.99,https://postmates.com/store/power-up!-breakfast-bowls-2353-e-12th-st/Ck-o8Y__RI6SBvekyusbDA,10741 Russet St Oakland CA,60014093004
Woah! Breakfast Quesarito! (2353 E 12th St),N/A,5.99,https://postmates.com/store/woah!-breakfast-quesarito!-2353-e-12th-st/cHlhV-N8T-WORFm54YafcA,10741 Russet St Oakland CA,60014093004
"Brekkie Bagels (1933 Davis Street, Suite 135B)",N/A,2.99,https://postmates.com/store/brekkie-bagels-1933-davis-street-suite-135b/GAm8xPmsUgKpbaAFEq2DZw,10741 Russet St Oakland CA,60014093004
Beverly Hills Burger Bungalow (2353 E 12th St),N/A,5.99,https://postmates.com/store/beverly-hills-burger-bungalow-2353-e-12th-st/lhkK4XKLQ2mhljXonl4jZA,10741 Russet St Oakland CA,60014093004
The Taco Box - Castro Valley,N/A,6.99,https://postmates.com/store/the-taco-box-castro-valley/Vk6s8mUJTt2twX3RirMCLQ,10741 Russet St Oakland CA,60014093004
"Bed & Breakfast Burrito Co (1933 Davis Street, Suite 135B)",N/A,2.99,https://postmates.com/store/bed-%26-breakfast-burrito-co-1933-davis-street-suite-135b/a1jNi1BgUwmimmMQFYuRfg,10741 Russet St Oakland CA,60014093004
La Piñata (San Leandro),N/A,3.99,https://postmates.com/store/la-pinata-san-leandro/7rvVcAaOQAWRXkx9fgSc4g,10741 Russet St Oakland CA,60014093004
"The Original Mels (15011 Hesperian Blvd, San Leandro)",N/A,3.99,https://postmates.com/store/the-original-mels-15011-hesperian-blvd-san-leandro/-RqcP-0KQgqQ9Ye_ROSnkQ,10741 Russet St Oakland CA,60014093004
Saigon House,N/A,4.99,https://postmates.com/store/saigon-house/K8_-gyyVQKac4EDgKu6sIA,10741 Russet St Oakland CA,60014093004
Chevron Extramile (1117 E 14Th St),N/A,3.49,https://postmates.com/store/chevron-extramile-1117-e-14th-st/OnbY5QNTSCKJYhy0hsPCwg,10741 Russet St Oakland CA,60014093004
One Stop Liquors,N/A,4.49,https://postmates.com/store/one-stop-liquors/9Fe8urEiVfGVuPFoB5Ce1g,10741 Russet St Oakland CA,60014093004
Los Camelleos Tienda,N/A,4.49,https://postmates.com/store/los-camelleos-tienda/_4uvlmFQSQeE27RGmlNZaA,10741 Russet St Oakland CA,60014093004
